fangjian_value,sum,mean,median,var,min,max
628,18.000000000000004,2.2500000000000004,2.225,0.3737142857142857,1.1,2.95
629,18.890000000000004,2.3612500000000005,2.315,0.017041071428571454,2.22,2.64
630,11.400000000000002,1.4250000000000003,1.28,0.21137142857142857,0.91,2.1
632,19.54,2.4425,2.5300000000000002,0.26856428571428564,1.71,3.15
634,9.54,1.1925,1.2149999999999999,0.1336214285714285,0.62,1.66
639,13.1,1.6375,1.6099999999999999,0.08985000000000001,1.14,2.19
640,15.600000000000003,1.9500000000000004,2.01,0.04354285714285715,1.6,2.19
641,18.41,2.30125,2.08,0.6053267857142857,1.57,4.04
642,13.529999999999998,1.6912499999999997,1.76,0.12318392857142861,1.07,2.12
643,32.59,4.07375,4.12,0.7181982142857144,3.08,5.51
644,17.200000000000003,2.1500000000000004,2.135,0.1257714285714285,1.62,2.71
645,14.15,1.76875,1.625,0.10112678571428566,1.47,2.4
646,17.029999999999998,2.1287499999999997,2.245,0.14786964285714285,1.44,2.57
647,11.139999999999999,1.3924999999999998,1.355,0.14302142857142855,0.92,2.11
649,24.26,3.0325,2.95,0.10499285714285711,2.67,3.65
650,30.93,3.86625,3.5300000000000002,2.1901124999999997,2.66,7.33
651,15.58,1.9475,2.005,0.08779285714285714,1.55,2.37
652,8.26,1.0325,1.045,0.0383357142857143,0.73,1.36
653,9.22,1.1525,1.12,0.014964285714285713,0.99,1.32
654,8.44,1.055,0.915,0.10974285714285716,0.71,1.68
655,16.61,2.07625,2.0149999999999997,0.10785535714285711,1.64,2.63
656,38.54,4.8175,4.79,0.7446785714285717,3.55,6.13
657,33.53,4.19125,4.365,0.41246964285714277,3.09,5.13
658,0.0,0.0,0.0,0.0,0.0,0.0
659,20.78,2.5975,2.6,0.2366785714285715,2.07,3.41
660,28.03,3.50375,3.4800000000000004,0.2858839285714286,2.57,4.25
662,1.94,0.2425,0.21500000000000002,0.011335714285714286,0.08,0.4
664,30.799999999999997,3.8499999999999996,3.84,0.30440000000000006,3.09,4.76
669,19.2,2.4,2.31,0.2217142857142857,1.71,3.3
670,15.059999999999999,1.8824999999999998,2.08,0.4729071428571431,0.91,2.87
671,13.7,1.7125,1.73,0.06090714285714284,1.31,2.05
672,9.79,1.22375,1.19,0.027712500000000004,1.02,1.52
673,26.96,3.37,3.3099999999999996,0.24719999999999992,2.71,4.06
674,11.74,1.4675,1.565,0.06862142857142858,1.02,1.71
675,16.55,2.06875,2.11,0.11981250000000003,1.61,2.5
676,16.44,2.055,1.9,0.24588571428571407,1.42,2.78
677,9.219999999999999,1.1524999999999999,1.1400000000000001,0.035107142857142844,0.85,1.46
679,17.119999999999997,2.1399999999999997,2.05,0.24471428571428566,1.19,2.82
680,34.19,4.27375,4.17,1.4479982142857144,2.58,5.97
681,19.69,2.46125,2.4850000000000003,0.04029821428571424,2.04,2.67
682,17.349999999999998,2.1687499999999997,2.105,0.10481249999999993,1.84,2.78
683,25.240000000000006,3.1550000000000007,2.98,1.3028285714285712,1.91,5.1
